2006,9,10,opinión,bajo el signo del terror,"cuarenta y nueve minutos más tarde, todo lo anterior resultaría irrelevante.  ... en un artículo publicado en la última edición de  foreign policy  bajo el título de ""el día en que nada ..."
2006,9,13,tecnología,apple renovó toda la familia  ipod ,"con casi la mitad de tamaño que la edición original, el nuevo  shuflle  viene diseñado en aluminio y cuenta con un clip para poder enganchar en la ropa. ... su display es 40% más brilloso que l..."
2006,9,14,deportes,por las canchas,"colon  iriarte, grabinski y grisales serán las bajas ante vélez  pasado mañana, para su compromiso ante vélez, colón presentará tres bajas: hugo iriarte tiene una rotura en el ligamento cruzado ant..."
2006,9,15,espectáculos,argentinos en francia,"si en anteriores ediciones se había elegido siempre una zona geográfica del mundo como invitada de honor, esta bienal gira en torno del tema genérico de ""danza la ciudad"".  ... como ya o..."
2006,9,15,espectáculos,¿un loco suelto  en hollywood?,"el film todavía está en edición, así que no hay manera de saber si  apocalypto  será una locura genial o, simplemente, una locura. ... de lejos el mejor de sus tres films anteriores a  a..."
2006,9,15,opinión,cartas de lectores,"jorge luis mauro  economista  julián alvarez 2335, capital  hospital larcade  señor director:  ""en la edición del 7 del actual, leí con sorpresa una carta del señor jorge peloso, de san miguel,..."
2006,9,16,economía,interrogantes por el inmobiliario rural,"precisamente la nota  respondía a un artículo publicado en una edición anterior en este suplemento, referido a dicho tributo.  "
2006,9,16,economía,agenda rural,"nueve de julio  exposición rural:  desde el 28 del actual hasta el 1º de octubre tendrá lugar la 109a. edición de la exposición nacional de agricultura, ganadería, granja, industria, comercio y..."
2006,9,16,espectáculos,la compactera," lejos  la chicana  origami, jacinto chiclana, viralata, alias ""el mondadientes"", lo bueno y lo malo, nos tenemos que ir, pescado fresco, te vas a hacer golpear, y otros (edición independiente)..."
2006,9,16,espectáculos,el zoom,"como el anterior, este film estará centrado en las circunstancias que rodearon la escritura de su obra más conocida, a sangre fría. ... ibope  jueves de esta semana  de viva voz  perversión  16 sep 2006 | espectáculos | edición impresa la nacion"
2006,9,16,el mundo,comenzó la oktoberfest en munich,"en esta edición participan 650 fabricantes de cerveza y firmas gastronómicas, puestos de comida y bebida que estarán atendidos por unos 10.000 mozos, cocineros y ayudantes.  ... el precio de la..."
2006,9,20,espectáculos,"una idea,  seis minutos","en la edición anterior (se realiza cada dos meses), inés berton (foto) expuso su filosofía del té. "
2006,9,20,sociedad,"""estamos delgadas, no enfermas""",". ""estamos delgadas, pero no enfermas"", se quejan las modelos de la pasarela cibeles de madrid, que en su presente edición sorprendió al mundo de la moda al excluir a las que están demasiado ""..."
2006,9,21,opinión,cartas de lectores,"como se agotó el aparato anterior tuve que solicitar uno nuevo, por el cual debo abonar 90 pesos y además esperar 4 meses. ... cecilia colunga  dni 12.530.196  sobre roca  señor director:  ""la ..."
2006,9,21,moda y belleza,buenos aires alta moda,"como si se tratara de una cita en algún rincón del palacio de versalles, la 25a. edición de buenos aires alta moda se inauguró con una propuesta muy teatral, inspirada en la condesa louise o  m..."
2006,9,21,espectáculos,la argentina se hace ver,"al mismo tiempo el festival lanzará una colección de dvd con joyas de ediciones anteriores, que incluirá entre los cuatro títulos de la primera caja a  iluminados por el fuego  , de tris..."
2006,9,21,espectáculos,cine en continuado,"la imagen elegida para el afiche oficial de esta edición -marisa paredes disparando a un espejo  puesto en el lugar del espectador, a lo rita hayworth en  la dama de shanghai,  de orson welles-..."
2006,9,22,espectáculos,apostillas,"mientras en sus dos ediciones anteriores, el festival convocó a 190.000 espectadores, se prevé que, esta vez, aquella cifra baje. "
2006,9,24,el mundo,elogio de la razón,"merced a la lectura de una reciente edición crítica del diálogo entre un erudito emperador bizantino y un docto interlocutor de origen persa, a la vuelta de los siglos xiv y xv, ""sobre el tema ..."
2006,9,24,economía,los videojuegos continúan ganando seguidores y se convierten en un negocio con más fanáticos y ganancias millonarias,"cerca de 160.000 visitantes recorrerán la décima edición del gran evento anual del videojuego, que finaliza hoy en el oeste de tokio.  cerca de 10 millones de consolas fueron vendidas en japón ..."
2006,9,24,espectáculos,prueba de fuego para sorín,"también reconoció que éste, probablemente, se convierta en el último episodio de este ciclo ""mínimo"" que le dio, al menos en sus anteriores entregas, excelentes resultados.  al cierre de esta ..."
2006,9,25,economía,comienza a caer el nivel de la rentabilidad empresarial,"en esta edición, correspondiente al segundo trimestre de este año, también se explica que el 49% destacó que la situación de sus compañías siguió siendo buena en el último año, mientras que el ..."
2006,9,25,espectáculos,una verdadera fiesta del pop," después de la lluvia que sólo la sabiduría de iggy pop pudo detener la noche anterior, la del sábado fue una fría jornada de primavera en los campos del pepsi music. ... con una lista de temas..."
2006,9,25,deportes,buenos aires vuelve a recibir el mejor tenis,"el atp de buenos aires celebrará en febrero su séptima edición. los anteriores ganadores fueron el brasileño gustavo kuerten (2001), el chileno nicolás massú (2202), el español carlos mo..."
